candidate_id,comparison_mode,objective,waveform_objective,peak_share_objective,peak_ratio_objective,best_shift_ms,g0_factor,factors
mv_003_ce78face,ch0_extrema,0.24732925661038418,0.21072780110124745,0.0,0.0030048587114615555,0.07000000000000095,0.9006,"{""membrane_cp"": 1.469525176573407, ""pb_cp"": 0.6610018075523542, ""pb_k"": 1.269409493513702, ""stycast_k"": 0.7726133062299223, ""tes_cp"": 1.0081985310518433}"
mv_004_594c764d,ch0_extrema,0.2595986849254279,0.19436578389583176,0.0,0.03288438974710477,0.05000000000000093,0.9006,"{""membrane_cp"": 0.985256921022083, ""pb_cp"": 0.7055172362553892, ""pb_k"": 1.020549672082618, ""stycast_k"": 0.6988889824925499, ""tes_cp"": 1.5810381837395966}"
mv_001_88fa012e,ch0_extrema,0.31129859461188697,0.18251183127179677,0.0,0.09311212886424977,0.05000000000000093,0.9006,"{""membrane_cp"": 1.2650745657565499, ""pb_cp"": 1.2870977379986932, ""pb_k"": 1.516976497713081, ""stycast_k"": 1.1367569192566722, ""tes_cp"": 1.4441987417807736}"
mv_000_e446b945,ch0_extrema,0.31566781031023483,0.20875932455757612,0.0,0.08066501272321808,0.07000000000000095,0.9006,"{""membrane_cp"": 0.918409678027158, ""pb_cp"": 1.1019495983181855, ""pb_k"": 1.4769637060601501, ""stycast_k"": 1.3360277449977584, ""tes_cp"": 0.7185996125620624}"
mv_002_eab28408,ch0_extrema,0.31712917366770094,0.15996381940079932,0.0,0.12254222598260846,0.030000000000000915,0.9006,"{""membrane_cp"": 0.6899769215845248, ""pb_cp"": 1.2153002695936446, ""pb_k"": 1.1778327759531724, ""stycast_k"": 0.5631513287537394, ""tes_cp"": 1.2765330312658922}"
mv_005_f58982d8,ch0_extrema,0.3457803402859904,0.15259912633208805,0.0,0.1573097800029041,0.030000000000000915,0.9006,"{""membrane_cp"": 0.8114866932308876, ""pb_cp"": 1.4649427996492757, ""pb_k"": 1.308789955127898, ""stycast_k"": 0.5587259228929153, ""tes_cp"": 1.1112146347406502}"
mv_007_c0fb7dde,ch0_extrema,0.3850186049557738,0.178603025965337,0.0,0.1965203609617491,0.030000000000000915,0.9006,"{""membrane_cp"": 1.323043087549618, ""pb_cp"": 1.0191433795750773, ""pb_k"": 0.8382271813973522, ""stycast_k"": 0.9004805084305034, ""tes_cp"": 0.9283473540595261}"
mv_009_0796ad5a,ch0_extrema,0.4053931138294474,0.35290400774243247,0.0,0.010207400862105843,0.07000000000000095,0.9006,"{""membrane_cp"": 1.5088206438018745, ""pb_cp"": 0.8280945269781005, ""pb_k"": 0.7493522009438253, ""stycast_k"": 1.975060429355433, ""tes_cp"": 1.0236012936130954}"
mv_008_01ba1599,ch0_extrema,0.43475617004667977,0.244876199804681,0.0,0.16344898338792907,0.06000000000000094,0.9006,"{""membrane_cp"": 0.7394396966149849, ""pb_cp"": 0.7920362171054138, ""pb_k"": 0.8074677985547365, ""stycast_k"": 1.5183067698002644, ""tes_cp"": 0.8081835256505946}"
mv_006_d0141ab8,ch0_extrema,0.4657715750431637,0.15812390975178497,0.0,0.28296291279746394,0.020000000000000906,0.9006,"{""membrane_cp"": 0.840628450310102, ""pb_cp"": 1.5123523274199933, ""pb_k"": 0.9484146925110718, ""stycast_k"": 1.0806365287689053, ""tes_cp"": 1.361402040459093}"
mv_010_af83b65c,ch0_extrema,0.6794886474308598,0.20532284325161138,0.0,0.43096410219499454,0.030000000000000915,0.9006,"{""membrane_cp"": 1.166503896843991, ""pb_cp"": 1.0826280059262712, ""pb_k"": 0.6577248088119252, ""stycast_k"": 1.740169442841272, ""tes_cp"": 0.6598489545044129}"
